,item_id,title,genres,Unnamed: 0_x,overview,Unnamed: 0_y,url
0,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,44,"Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",34,http://image.tmdb.org/t/p/w185/zgB9CCTDlXRv50Z70ZI4elJtNEk.jpg
1,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,260,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",25,http://image.tmdb.org/t/p/w185/dM2w364MScsjFf8pfMbaWUcWrR.jpg
2,58559,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX,7669,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",16,http://image.tmdb.org/t/p/w185/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg
3,88140,Captain America: The First Avenger (2011),Action|Adventure|Sci-Fi|Thriller|War,9052,"Predominantly set during World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",30,http://image.tmdb.org/t/p/w185/fF7vPzCF6kIsLuWEHCGPGl2xTw1.jpg
4,89745,"Avengers, The (2012)",Action|Adventure|Sci-Fi|IMAX,9121,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",29,http://image.tmdb.org/t/p/w185/cezWGskPY5x7GaglTTRN4Fugfb8.jpg
5,99114,Django Unchained (2012),Action|Drama|Western,9546,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",32,http://image.tmdb.org/t/p/w185/5WJnxuw41sddupf8cwOxYftuvJG.jpg
6,106487,"Hunger Games: Catching Fire, The (2013)",Action|Adventure|Sci-Fi|IMAX,9837,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",23,http://image.tmdb.org/t/p/w185/tAhSyLxpaZJCr1oc2a3flvC2B7x.jpg
7,109487,Interstellar (2014),Sci-Fi|IMAX,9914,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,4,http://image.tmdb.org/t/p/w185/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg
8,110102,Captain America: The Winter Soldier (2014),Action|Adventure|Sci-Fi|IMAX,9928,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",31,http://image.tmdb.org/t/p/w185/pH4oeiZAh9a40tly4D0l6aAB3ms.jpg
9,111360,Lucy (2014),Action|Sci-Fi,9959,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",37,http://image.tmdb.org/t/p/w185/rwn876MeqienhOVSSjtUPnwxn0Z.jpg
10,111362,X-Men: Days of Future Past (2014),Action|Adventure|Sci-Fi,9960,The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,28,http://image.tmdb.org/t/p/w185/qKkFk9HELmABpcPoc1HHZGIxQ5a.jpg
11,111781,Mission: Impossible - Rogue Nation (2015),Action|Adventure|Thriller,9976,"Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.",36,http://image.tmdb.org/t/p/w185/7QIQydtcnhvPgY4ZQeEp8Qj2kjl.jpg
12,112171,"Equalizer, The (2014)",Action|Crime|Thriller,9983,"In The Equalizer, Denzel Washington plays McCall, a man who believes he has put his mysterious past behind him and dedicated himself to beginning a new, quiet life. But when McCall meets Teri (Chloë Grace Moretz), a young girl under the control of ultra-violent Russian gangsters, he can’t stand idly by – he has to help her. Armed with hidden skills that allow him to serve vengeance against anyone who would brutalize the helpless, McCall comes out of his self-imposed retirement and finds his desire for justice reawakened. If someone has a problem, if the odds are stacked against them, if they have nowhere else to turn, McCall will help. He is The Equalizer.",12,http://image.tmdb.org/t/p/w185/2eQfjqlvPAxd9aLDs8DvsKLnfed.jpg
13,112183,Birdman: Or (The Unexpected Virtue of Ignorance) (2014),Comedy|Drama,9985,"A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.",33,http://image.tmdb.org/t/p/w185/rSZs93P0LLxqlVEbI001UKoeCQC.jpg
14,112556,Gone Girl (2014),Drama|Thriller,10000,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",24,http://image.tmdb.org/t/p/w185/pzxDgXAwQ3E7WGE61PH8LefxOsS.jpg
15,112852,Guardians of the Galaxy (2014),Action|Adventure|Sci-Fi,10005,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",6,http://image.tmdb.org/t/p/w185/hIsihzemvtM1AWtzU595MDiSX2V.jpg
16,113348,Teenage Mutant Ninja Turtles (2014),Action|Adventure|Comedy,10022,The city needs heroes. Darkness has settled over New York City as Shredder and his evil Foot Clan have an iron grip on everything from the police to the politicians. The future is grim until four unlikely outcast brothers rise from the sewers and discover their destiny as Teenage Mutant Ninja Turtles. The Turtles must work with fearless reporter April and her wise-cracking cameraman Vern Fenwick to save the city and unravel Shredder's diabolical plan.,11,http://image.tmdb.org/t/p/w185/oDL2ryJ0sV2bmjgshVgJb3qzvwp.jpg
17,114180,"Maze Runner, The (2014)",Action|Mystery|Sci-Fi,10042,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",38,http://image.tmdb.org/t/p/w185/coss7RgL0NH6g4fC2s5atvf3dFO.jpg
18,115149,John Wick (2014),Action|Thriller,10068,"After the sudden death of his beloved wife, John Wick receives one last gift from her, a beagle puppy named Daisy, and a note imploring him not to forget how to love. But John's mourning is interrupted when his 1969 Boss Mustang catches the eye of sadistic thug Iosef Tarasov who breaks into his house and steals it, beating John unconscious in the process. Unwittingly, he has just reawakened one of the most brutal assassins the underworld has ever known.",7,http://image.tmdb.org/t/p/w185/tyPtD94Gx1JFkWgGO3nrmv1GmpL.jpg
19,115210,Fury (2014),Action|Drama|War,10071,"Last months of World War II in April 1945. As the Allies make their final push in the European Theater, a battle-hardened U.S. Army sergeant in the 2nd Armored Division named Wardaddy commands a Sherman tank called ""Fury"" and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.",9,http://image.tmdb.org/t/p/w185/il9XWx5CbNd2KdDUwrcClEZiLkv.jpg
20,115569,Nightcrawler (2014),Crime|Drama|Thriller,10076,"When Lou Bloom, desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story. Aiding him in his effort is Nina, a TV-news veteran.",22,http://image.tmdb.org/t/p/w185/fukWJhLISH7f6cnYSdgb0JrSP2Q.jpg
21,115617,Big Hero 6 (2014),Action|Animation|Comedy,10077,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",10,http://image.tmdb.org/t/p/w185/hGRfWcy1HRGbsjK6jF7NILmqmFT.jpg
22,116797,The Imitation Game (2014),Drama|Thriller|War,10089,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",27,http://image.tmdb.org/t/p/w185/noUp0XOqIcmgefRnRZa1nhtRvWO.jpg
23,116823,The Hunger Games: Mockingjay - Part 1 (2014),Adventure|Sci-Fi|Thriller,10091,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,2,http://image.tmdb.org/t/p/w185/gj282Pniaa78ZJfbaixyLXnXEDI.jpg
24,117529,Jurassic World (2015),Action|Adventure|Sci-Fi|Thriller,10106,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",1,http://image.tmdb.org/t/p/w185/jjBgi2r5cRt36xF6iNUEhzscEcb.jpg
25,118696,The Hobbit: The Battle of the Five Armies (2014),Adventure|Fantasy,10122,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",20,http://image.tmdb.org/t/p/w185/vgAHvS0bT3fpcpnJqT6uDTUsHTo.jpg
26,120466,Chappie (2015),Action|Thriller,10144,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",8,http://image.tmdb.org/t/p/w185/4I7dIjAHPXqoOvHeAZq21sIy61s.jpg
27,120799,Terminator Genisys (2015),Action|Adventure|Sci-Fi|Thriller,10149,"The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.",5,http://image.tmdb.org/t/p/w185/wB93RcAJwz2haHLZvxVDFQcp4bf.jpg
28,122882,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller,10157,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",0,http://image.tmdb.org/t/p/w185/dywDjqAJoWudjgtHHIndmY9xvj9.jpg
29,122886,Star Wars: Episode VII - The Force Awakens (2015),Action|Adventure|Fantasy|Sci-Fi,10158,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",15,http://image.tmdb.org/t/p/w185/vZpB8ezB1IqpxI9rx553TuGwDzJ.jpg
30,122892,Avengers: Age of Ultron (2015),Action|Adventure|Sci-Fi,10159,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",39,http://image.tmdb.org/t/p/w185/16995J5R00I431Wzj0UfmgVqVPS.jpg
31,122900,Ant-Man (2015),Action|Adventure|Sci-Fi,10160,"Armed with the astonishing ability to shrink in scale but increase in strength, con-man Scott Lang must embrace his inner-hero and help his mentor, Dr. Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",19,http://image.tmdb.org/t/p/w185/D6e8RJf2qUstnfkTslTXNTUAlT.jpg
32,130490,Insurgent (2015),Action|Sci-Fi|Thriller,10206,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart.,13,http://image.tmdb.org/t/p/w185/wOQCdB8yzYsy1kqZfgQhIaSXF9r.jpg
33,130634,Furious 7 (2015),Action|Crime|Thriller,10210,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,3,http://image.tmdb.org/t/p/w185/iFey7xswGX479LBTe6lsvNpsg3S.jpg
34,134130,"Martian, The (2015)",Action|Adventure|Sci-Fi,10247,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",14,http://image.tmdb.org/t/p/w185/5aGhaIHYuQbqlHWvWYqMCnj40y2.jpg
35,134853,Inside Out (2015),Animation|Children|Comedy,10255,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",35,http://image.tmdb.org/t/p/w185/aAmfIX3TT40zUHGcCKrlOZRKC7u.jpg
36,135133,The Hunger Games: Mockingjay - Part 2 (2015),Adventure,10257,"With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale, Finnick, and Peeta – Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.",18,http://image.tmdb.org/t/p/w185/w93GAiq860UjmgR6tU9h2T24vaV.jpg
37,135887,Minions (2015),Adventure|Animation|Children|Comedy,10265,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",21,http://image.tmdb.org/t/p/w185/q0R4crx2SehcEEQEkYObktdeFy.jpg
38,136020,Spectre (2015),Action|Adventure|Crime,10267,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",17,http://image.tmdb.org/t/p/w185/oIxM0ddgX4IXXAJrqsEbAD3sXZM.jpg
39,139385,The Revenant (2015),Adventure|Drama,10283,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",26,http://image.tmdb.org/t/p/w185/oXUWEc5i3wYyFnL1Ycu8ppxxPvs.jpg
